Day;Date;stock item;No sold;Sales Price
Sunday;8-Feb;Cream Soda 500ml;1;R7,50
Sunday;8-Feb;Iwisa Pap 5kg;1;R30,00
Sunday;8-Feb;Top Class Soy Mince;2;R12,00
Sunday;8-Feb;Shampoo 1 litre;0;R30,00
Sunday;8-Feb;Soap Bar;1;R6,00
Sunday;8-Feb;Bananas - loose;5;R2,00
Sunday;8-Feb;Apples - loose;2;R2,00
Sunday;8-Feb;Mixed Sweets 5s;9;R3,00
Monday;9-Feb;Milk 1l;3;R10,00
Monday;9-Feb;Imasi;6;R25,00
Monday;9-Feb;Bread;7;R12,00
Monday;9-Feb;Chakalaka Can;5;R10,00
Monday;9-Feb;Gold Dish Vegetable Curry Can;6;R9,00
Monday;9-Feb;Fanta 500ml;3;R6,50
Monday;9-Feb;Coke 500ml;8;R6,50
Monday;9-Feb;Cream Soda 500ml;5;R7,50
Monday;9-Feb;Iwisa Pap 5kg;2;R30,00
Monday;9-Feb;Top Class Soy Mince;1;R12,00
Monday;9-Feb;Shampoo 1 litre;0;R30,00
Monday;9-Feb;Soap Bar;0;R6,00
Monday;9-Feb;Bananas - loose;5;R2,00
Monday;9-Feb;Apples - loose;0;R2,00
Monday;9-Feb;Mixed Sweets 5s;3;R3,00
Tuesday;10-Feb;Milk 1l;5;R10,00
Tuesday;10-Feb;Imasi;4;R25,00
Tuesday;10-Feb;Bread;2;R12,00
Tuesday;10-Feb;Chakalaka Can;0;R10,00
Tuesday;10-Feb;Gold Dish Vegetable Curry Can;0;R9,00
Tuesday;10-Feb;Fanta 500ml;1;R6,50
Tuesday;10-Feb;Coke 500ml;3;R6,50
Tuesday;10-Feb;Cream Soda 500ml;2;R7,50
Tuesday;10-Feb;Iwisa Pap 5kg;1;R30,00
Tuesday;10-Feb;Top Class Soy Mince;3;R12,00
Tuesday;10-Feb;Shampoo 1 litre;1;R30,00
Tuesday;10-Feb;Soap Bar;0;R6,00
Tuesday;10-Feb;Bananas - loose;3;R2,00
Tuesday;10-Feb;Apples - loose;2;R2,00
Tuesday;10-Feb;Mixed Sweets 5s;7;R2,00
Tuesday;10-Feb;Heart Chocolates;3;R35,00
Tuesday;10-Feb;Rose (plastic);1;R15,00
Wednesday;11-Feb;Milk 1l;5;R10,00
Wednesday;11-Feb;Imasi;4;R25,00
Wednesday;11-Feb;Bread;3;R12,00
Wednesday;11-Feb;Chakalaka Can;2;R10,00
Wednesday;11-Feb;Gold Dish Vegetable Curry Can;1;R9,00
Wednesday;11-Feb;Fanta 500ml;2;R6,50
Wednesday;11-Feb;Coke 500ml;3;R6,50
Wednesday;11-Feb;Cream Soda 500ml;1;R7,50
Wednesday;11-Feb;Iwisa Pap 5kg;0;R30,00
Wednesday;11-Feb;Top Class Soy Mince;2;R12,00
Wednesday;11-Feb;Shampoo 1 litre;1;R30,00
Wednesday;11-Feb;Soap Bar;0;R6,00
Wednesday;11-Feb;Bananas - loose;4;R2,00
Wednesday;11-Feb;Apples - loose;3;R2,00
Wednesday;11-Feb;Mixed Sweets 5s;8;R2,00
Wednesday;11-Feb;Heart Chocolates;5;R35,00
Wednesday;11-Feb;Rose (plastic);3;R15,00
Thursday;12-Feb;Milk 1l;3;R10,00
Thursday;12-Feb;Imasi;9;R25,00
Thursday;12-Feb;Bread;2;R12,00
Thursday;12-Feb;Chakalaka Can;3;R10,00
Thursday;12-Feb;Gold Dish Vegetable Curry Can;1;R9,00
Thursday;12-Feb;Fanta 500ml;0;R6,50
Thursday;12-Feb;Coke 500ml;2;R6,50
Thursday;12-Feb;Cream Soda 500ml;1;R7,50
Thursday;12-Feb;Iwisa Pap 5kg;0;R30,00
Thursday;12-Feb;Top Class Soy Mince;2;R12,00
Thursday;12-Feb;Shampoo 1 litre;0;R30,00
Thursday;12-Feb;Soap Bar;2;R6,00
Thursday;12-Feb;Bananas - loose;2;R2,00
Thursday;12-Feb;Apples - loose;3;R2,00
Thursday;12-Feb;Mixed Sweets 5s;3;R3,00
Thursday;12-Feb;Heart Chocolates;2;R35,00
Thursday;12-Feb;Valentine Cards;6;R4,00
Thursday;12-Feb;Rose (plastic);2;R15,00
Friday;13-Feb;Milk 1l;6;R10,00
Friday;13-Feb;Imasi;6;R25,00
Friday;13-Feb;Bread;5;R12,00
Friday;13-Feb;Chakalaka Can;7;R10,00
Friday;13-Feb;Gold Dish Vegetable Curry Can;15;R9,00
Friday;13-Feb;Fanta 500ml;6;R6,50
Friday;13-Feb;Coke 500ml;8;R6,50
Friday;13-Feb;Cream Soda 500ml;4;R7,50
Friday;13-Feb;Iwisa Pap 5kg;3;R30,00
Friday;13-Feb;Top Class Soy Mince;4;R12,00
Friday;13-Feb;Shampoo 1 litre;4;R30,00
Friday;13-Feb;Soap Bar;2;R6,00
Friday;13-Feb;Bananas - loose;4;R2,00
Friday;13-Feb;Apples - loose;2;R2,00
Friday;13-Feb;Mixed Sweets 5s;6;R3,00
Friday;13-Feb;Heart Chocolates;10;R35,00
Friday;13-Feb;Valentine Cards;5;R4,00
Friday;13-Feb;Rose (plastic);7;R15,00
Saturday;14-Feb;Milk 1l;6;R10,00
Saturday;14-Feb;Imasi;5;R25,00
Saturday;14-Feb;Bread;7;R12,00
Saturday;14-Feb;Chakalaka Can;3;R10,00
Saturday;14-Feb;Gold Dish Vegetable Curry Can;4;R9,00
Saturday;14-Feb;Fanta 500ml;7;R6,50
Saturday;14-Feb;Coke 500ml;14;R6,50
Saturday;14-Feb;Cream Soda 500ml;8;R7,50
Saturday;14-Feb;Iwisa Pap 5kg;3;R30,00
Saturday;14-Feb;Top Class Soy Mince;7;R12,00
Saturday;14-Feb;Shampoo 1 litre;0;R30,00
Saturday;14-Feb;Soap Bar;0;R6,00
Saturday;14-Feb;Bananas - loose;5;R2,00
Saturday;14-Feb;Apples - loose;9;R2,00
Saturday;14-Feb;Mixed Sweets 5s;18;R3,00
Saturday;14-Feb;Heart Chocolates;0;R35,00
Saturday;14-Feb;Valentine Cards;3;R4,00
Saturday;14-Feb;Rose (plastic);1;R15,00
Sunday;15-Feb;Milk 1l;2;R10,00
Sunday;15-Feb;Imasi;2;R25,00
Sunday;15-Feb;Bread;1;R12,00
Sunday;15-Feb;Chakalaka Can;3;R10,00
Sunday;15-Feb;Gold Dish Vegetable Curry Can;0;R9,00
Sunday;15-Feb;Fanta 500ml;5;R6,50
Sunday;15-Feb;Coke 500ml;4;R6,50
Sunday;15-Feb;Cream Soda 500ml;2;R7,50
Sunday;15-Feb;Iwisa Pap 5kg;0;R30,00
Sunday;15-Feb;Top Class Soy Mince;1;R12,00
Sunday;15-Feb;Shampoo 1 litre;0;R30,00
Sunday;15-Feb;Soap Bar;1;R6,00
Sunday;15-Feb;Bananas - loose;1;R2,00
Sunday;15-Feb;Apples - loose;1;R2,00
Sunday;15-Feb;Mixed Sweets 5s;3;R3,00
Monday;16-Feb;Milk 1l;7;R10,00
Monday;16-Feb;Imasi;6;R25,00
Monday;16-Feb;Bread;4;R12,00
Monday;16-Feb;Chakalaka Can;3;R10,00
Monday;16-Feb;Gold Dish Vegetable Curry Can;2;R9,00
Monday;16-Feb;Fanta 500ml;2;R6,50
Monday;16-Feb;Coke 500ml;1;R6,50
Monday;16-Feb;Cream Soda 500ml;2;R7,50
Monday;16-Feb;Iwisa Pap 5kg;2;R30,00
Monday;16-Feb;Top Class Soy Mince;1;R12,00
Monday;16-Feb;Shampoo 1 litre;0;R30,00
Monday;16-Feb;Soap Bar;2;R6,00
Monday;16-Feb;Bananas - loose;2;R2,00
Monday;16-Feb;Apples - loose;3;R2,00
Monday;16-Feb;Mixed Sweets 5s;5;R3,00
Tuesday;17-Feb;Milk 1l;8;R10,00
Tuesday;17-Feb;Imasi;6;R25,00
Tuesday;17-Feb;Bread;3;R12,00
Tuesday;17-Feb;Chakalaka Can;0;R10,00
Tuesday;17-Feb;Gold Dish Vegetable Curry Can;0;R9,00
Tuesday;17-Feb;Fanta 500ml;0;R6,50
Tuesday;17-Feb;Coke 500ml;2;R6,50
Tuesday;17-Feb;Cream Soda 500ml;0;R7,50
Tuesday;17-Feb;Iwisa Pap 5kg;1;R30,00
Tuesday;17-Feb;Top Class Soy Mince;2;R12,00
Tuesday;17-Feb;Shampoo 1 litre;0;R30,00
Tuesday;17-Feb;Soap Bar;1;R6,00
Tuesday;17-Feb;Bananas - loose;2;R2,00
Tuesday;17-Feb;Apples - loose;6;R2,00
Tuesday;17-Feb;Mixed Sweets 5s;5;R2,00
Wednesday;18-Feb;Milk 1l;3;R10,00
Wednesday;18-Feb;Imasi;5;R25,00
Wednesday;18-Feb;Bread;5;R12,00
Wednesday;18-Feb;Chakalaka Can;1;R10,00
Wednesday;18-Feb;Gold Dish Vegetable Curry Can;0;R9,00
Wednesday;18-Feb;Fanta 500ml;0;R6,50
Wednesday;18-Feb;Coke 500ml;3;R6,50
Wednesday;18-Feb;Cream Soda 500ml;2;R7,50
Wednesday;18-Feb;Iwisa Pap 5kg;1;R30,00
Wednesday;18-Feb;Top Class Soy Mince;1;R12,00
Wednesday;18-Feb;Shampoo 1 litre;1;R30,00
Wednesday;18-Feb;Soap Bar;1;R6,00
Wednesday;18-Feb;Bananas - loose;1;R2,00
Wednesday;18-Feb;Apples - loose;3;R2,00
Wednesday;18-Feb;Mixed Sweets 5s;2;R2,00
Thursday;19-Feb;Milk 1l;5;R10,00
Thursday;19-Feb;Imasi;3;R25,00
Thursday;19-Feb;Bread;5;R12,00
Thursday;19-Feb;Chakalaka Can;2;R10,00
Thursday;19-Feb;Gold Dish Vegetable Curry Can;1;R9,00
Thursday;19-Feb;Fanta 500ml;1;R6,50
Thursday;19-Feb;Coke 500ml;1;R6,50
Thursday;19-Feb;Cream Soda 500ml;0;R7,50
Thursday;19-Feb;Iwisa Pap 5kg;0;R30,00
Thursday;19-Feb;Top Class Soy Mince;2;R12,00
Thursday;19-Feb;Shampoo 1 litre;2;R30,00
Thursday;19-Feb;Soap Bar;0;R6,00
Thursday;19-Feb;Bananas - loose;3;R2,00
Thursday;19-Feb;Apples - loose;5;R2,00
Thursday;19-Feb;Mixed Sweets 5s;4;R3,00
Friday;20-Feb;Milk 1l;4;R10,00
Friday;20-Feb;Imasi;2;R25,00
Friday;20-Feb;Bread;3;R12,00
Friday;20-Feb;Chakalaka Can;5;R10,00
Friday;20-Feb;Gold Dish Vegetable Curry Can;3;R9,00
Friday;20-Feb;Fanta 500ml;3;R6,50
Friday;20-Feb;Coke 500ml;5;R6,50
Friday;20-Feb;Cream Soda 500ml;6;R7,50
Friday;20-Feb;Iwisa Pap 5kg;0;R30,00
Friday;20-Feb;Top Class Soy Mince;3;R12,00
Friday;20-Feb;Shampoo 1 litre;1;R30,00
Friday;20-Feb;Soap Bar;3;R6,00
Friday;20-Feb;Bananas - loose;6;R2,00
Friday;20-Feb;Apples - loose;4;R2,00
Friday;20-Feb;Mixed Sweets 5s;8;R3,00
Saturday;21-Feb;Milk 1l;1;R10,00
Saturday;21-Feb;Imasi;1;R25,00
Saturday;21-Feb;Bread;3;R12,00
Saturday;21-Feb;Chakalaka Can;3;R10,00
Saturday;21-Feb;Gold Dish Vegetable Curry Can;2;R9,00
Saturday;21-Feb;Fanta 500ml;3;R6,50
Saturday;21-Feb;Coke 500ml;2;R6,50
Saturday;21-Feb;Cream Soda 500ml;0;R7,50
Saturday;21-Feb;Iwisa Pap 5kg;0;R30,00
Saturday;21-Feb;Top Class Soy Mince;2;R12,00
Saturday;21-Feb;Shampoo 1 litre;0;R30,00
Saturday;21-Feb;Soap Bar;0;R6,00
Saturday;21-Feb;Bananas - loose;2;R2,00
Saturday;21-Feb;Apples - loose;3;R2,00
Saturday;21-Feb;Mixed Sweets 5s;2;R3,00
Sunday;22-Feb;Milk 1l;2;R10,00
Sunday;22-Feb;Imasi;2;R25,00
Sunday;22-Feb;Bread;3;R12,00
Sunday;22-Feb;Chakalaka Can;0;R10,00
Sunday;22-Feb;Gold Dish Vegetable Curry Can;1;R9,00
Sunday;22-Feb;Fanta 500ml;2;R6,50
Sunday;22-Feb;Coke 500ml;0;R6,50
Sunday;22-Feb;Cream Soda 500ml;0;R7,50
Sunday;22-Feb;Iwisa Pap 5kg;0;R30,00
Sunday;22-Feb;Top Class Soy Mince;0;R12,00
Sunday;22-Feb;Shampoo 1 litre;0;R30,00
Sunday;22-Feb;Soap Bar;1;R6,00
Sunday;22-Feb;Bananas - loose;0;R2,00
Sunday;22-Feb;Apples - loose;1;R2,00
Sunday;22-Feb;Mixed Sweets 5s;3;R3,00
Monday;23-Feb;Milk 1l;8;R10,00
Monday;23-Feb;Imasi;6;R25,00
Monday;23-Feb;Bread;2;R12,00
Monday;23-Feb;Chakalaka Can;2;R10,00
Monday;23-Feb;Gold Dish Vegetable Curry Can;1;R9,00
Monday;23-Feb;Fanta 500ml;1;R6,50
Monday;23-Feb;Coke 500ml;3;R6,50
Monday;23-Feb;Cream Soda 500ml;0;R7,50
Monday;23-Feb;Iwisa Pap 5kg;2;R30,00
Monday;23-Feb;Top Class Soy Mince;1;R12,00
Monday;23-Feb;Shampoo 1 litre;0;R30,00
Monday;23-Feb;Soap Bar;0;R6,00
Monday;23-Feb;Bananas - loose;2;R2,00
Monday;23-Feb;Apples - loose;1;R2,00
Monday;23-Feb;Mixed Sweets 5s;3;R3,00
Tuesday;24-Feb;Milk 1l;4;R10,00
Tuesday;24-Feb;Imasi;2;R25,00
Tuesday;24-Feb;Bread;6;R12,00
Tuesday;24-Feb;Chakalaka Can;1;R10,00
Tuesday;24-Feb;Gold Dish Vegetable Curry Can;2;R9,00
Tuesday;24-Feb;Fanta 500ml;1;R6,50
Tuesday;24-Feb;Coke 500ml;2;R6,50
Tuesday;24-Feb;Cream Soda 500ml;1;R7,50
Tuesday;24-Feb;Iwisa Pap 5kg;1;R30,00
Tuesday;24-Feb;Top Class Soy Mince;2;R12,00
Tuesday;24-Feb;Shampoo 1 litre;0;R30,00
Tuesday;24-Feb;Soap Bar;1;R6,00
Tuesday;24-Feb;Bananas - loose;5;R2,00
Tuesday;24-Feb;Apples - loose;3;R2,00
Tuesday;24-Feb;Mixed Sweets 5s;7;R2,00
Wednesday;25-Feb;Milk 1l;8;R10,00
Wednesday;25-Feb;Imasi;6;R25,00
Wednesday;25-Feb;Bread;7;R12,00
Wednesday;25-Feb;Chakalaka Can;5;R10,00
Wednesday;25-Feb;Gold Dish Vegetable Curry Can;4;R9,00
Wednesday;25-Feb;Fanta 500ml;6;R6,50
Wednesday;25-Feb;Coke 500ml;8;R6,50
Wednesday;25-Feb;Cream Soda 500ml;5;R7,50
Wednesday;25-Feb;Iwisa Pap 5kg;3;R30,00
Wednesday;25-Feb;Top Class Soy Mince;7;R12,00
Wednesday;25-Feb;Shampoo 1 litre;1;R30,00
Wednesday;25-Feb;Soap Bar;4;R6,00
Wednesday;25-Feb;Bananas - loose;2;R2,00
Wednesday;25-Feb;Apples - loose;8;R2,00
Wednesday;25-Feb;Mixed Sweets 5s;5;R2,00
Thursday;26-Feb;Milk 1l;8;R10,00
Thursday;26-Feb;Imasi;8;R25,00
Thursday;26-Feb;Bread;5;R12,00
Thursday;26-Feb;Chakalaka Can;3;R10,00
Thursday;26-Feb;Gold Dish Vegetable Curry Can;7;R9,00
Thursday;26-Feb;Fanta 500ml;3;R6,50
Thursday;26-Feb;Coke 500ml;7;R6,50
Thursday;26-Feb;Cream Soda 500ml;4;R7,50
Thursday;26-Feb;Iwisa Pap 5kg;3;R30,00
Thursday;26-Feb;Top Class Soy Mince;8;R12,00
Thursday;26-Feb;Shampoo 1 litre;0;R30,00
Thursday;26-Feb;Soap Bar;3;R6,00
Thursday;26-Feb;Bananas - loose;2;R2,00
Thursday;26-Feb;Apples - loose;3;R2,00
Thursday;26-Feb;Mixed Sweets 5s;1;R3,00
Friday;27-Feb;Milk 1l;8;R10,00
Friday;27-Feb;Imasi;5;R25,00
Friday;27-Feb;Bread;3;R12,00
Friday;27-Feb;Chakalaka Can;12;R10,00
Friday;27-Feb;Gold Dish Vegetable Curry Can;9;R9,00
Friday;27-Feb;Fanta 500ml;6;R6,50
Friday;27-Feb;Coke 500ml;18;R6,50
Friday;27-Feb;Cream Soda 500ml;3;R7,50
Friday;27-Feb;Iwisa Pap 5kg;4;R30,00
Friday;27-Feb;Top Class Soy Mince;12;R12,00
Friday;27-Feb;Shampoo 1 litre;5;R30,00
Friday;27-Feb;Soap Bar;3;R6,00
Friday;27-Feb;Bananas - loose;1;R2,00
Friday;27-Feb;Apples - loose;3;R2,00
Friday;27-Feb;Mixed Sweets 5s;1;R3,00
Saturday;28-Feb;Milk 1l;3;R10,00
Saturday;28-Feb;Imasi;2;R25,00
Saturday;28-Feb;Bread;4;R12,00
Saturday;28-Feb;Chakalaka Can;5;R10,00
Saturday;28-Feb;Gold Dish Vegetable Curry Can;6;R9,00
Saturday;28-Feb;Fanta 500ml;3;R6,50
Saturday;28-Feb;Coke 500ml;4;R6,50
Saturday;28-Feb;Cream Soda 500ml;6;R7,50
Saturday;28-Feb;Iwisa Pap 5kg;2;R30,00
Saturday;28-Feb;Top Class Soy Mince;9;R12,00
Saturday;28-Feb;Shampoo 1 litre;4;R30,00
Saturday;28-Feb;Soap Bar;7;R6,00
Saturday;28-Feb;Bananas - loose;6;R2,00
Saturday;28-Feb;Apples - loose;8;R2,00
Saturday;28-Feb;Mixed Sweets 5s;8;R3,00
Sunday;1-Mar;Milk 1l;4;R10,00
Sunday;1-Mar;Imasi;3;R25,00
Sunday;1-Mar;Bread;3;R12,00
Sunday;1-Mar;Chakalaka Can;5;R10,00
Sunday;1-Mar;Gold Dish Vegetable Curry Can;4;R9,00
Sunday;1-Mar;Fanta 500ml;2;R6,50
Sunday;1-Mar;Coke 500ml;3;R6,50
Sunday;1-Mar;Cream Soda 500ml;0;R7,50
Sunday;1-Mar;Iwisa Pap 5kg;1;R30,00
Sunday;1-Mar;Top Class Soy Mince;4;R12,00
Sunday;1-Mar;Shampoo 1 litre;3;R30,00
Sunday;1-Mar;Soap Bar;6;R6,00
Sunday;1-Mar;Bananas - loose;4;R2,00
Sunday;1-Mar;Apples - loose;5;R2,00
Sunday;1-Mar;Mixed Sweets 5s;12;R3,00
